,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Region,Institution Type,Enrolled Students,Faculty,Ratio,Year
,NCR,Private,221,9,1:25,2019
,NCR,Private,95,4,1:24,2019
,NCR,Private,849,20,1:42,2019
,NCR,Private,399,29,1:14,2019
,NCR,Private,97,38,1:3,2019
,NCR,Private,425,53,1:8,2019
,NCR,Private,296,39,1:8,2019
,NCR,Private,3334,182,1:18,2019
,NCR,Private,1910,40,1:48,2019
,NCR,Private,1738,107,1:16,2019
,NCR,Private,49,17,1:3,2019
,NCR,Private,112,12,1:9,2019
,NCR,Private,1433,110,1:13,2019
,NCR,Private,287,24,1:12,2019
,NCR,Private,320,10,1:32,2019
,NCR,Private,651,20,1:33,2019
,NCR,Private,854,30,1:28,2019
,NCR,Private,17,6,1:3,2019
,NCR,Private,1882,89,1:21,2019
,NCR,Private,235,29,1:8,2019
,NCR,Private,192,10,1:19,2019
,NCR,Private,248,25,1:10,2019
,NCR,Private,154,40,1:4,2019
,NCR,Private,517,76,1:7,2019
,NCR,Private,1048,76,1:14,2019
,NCR,Private,793,109,1:7,2019
,NCR,Private,333,27,1:12,2019
,NCR,Private,10982,176,1:62,2019
,NCR,Private,168,25,1:7,2019
,NCR,Private,117,13,1:9,2019
,NCR,Private,542,23,1:24,2019
,NCR,Private,823,61,1:13,2019
,NCR,Private,40,23,1:2,2019
,NCR,Private,2122,94,1:23,2019
,NCR,Private,8092,437,1:19,2019
,NCR,Private,598,44,1:14,2019
,NCR,Private,585,65,1:9,2019
,NCR,Private,398,39,1:10,2019
,NCR,Private,421,18,1:23,2019
,NCR,Private,54,9,1:6,2019
,NCR,Private,2608,203,1:13,2019
,NCR,Private,1864,67,1:28,2019
,NCR,Private,38,9,1:4,2019
,NCR,Private,99,16,1:6,2019
,NCR,Private,237,62,1:4,2019
,NCR,Private,371,42,1:9,2019
,NCR,Private,15899,1109,1:14,2019
,NCR,Private,2034,130,1:16,2019
,NCR,Private,448,27,1:17,2019
,NCR,Private,129,37,1:3,2019
,NCR,Private,72,23,1:3,2019
,NCR,Private,69,25,1:3,2019
,NCR,Private,92,24,1:4,2019
,NCR,Private,575,56,1:10,2019
,NCR,Private,82,23,1:4,2019
,NCR,Private,1772,102,1:17,2019
,NCR,Private,79,13,1:6,2019
,NCR,Private,2642,171,1:15,2019
,NCR,Private,875,94,1:9,2019
,NCR,Private,81,17,1:5,2019
,NCR,Private,675,46,1:15,2019
,NCR,Private,615,88,1:7,2019
,NCR,Private,189,34,1:6,2019
,NCR,Private,4249,424,1:10,2019
,NCR,Private,588,46,1:13,2019
,NCR,Private,75,21,1:4,2019
,NCR,Private,62,21,1:3,2019
,NCR,Private,2560,84,1:30,2019
,NCR,Private,51,18,1:3,2019
,NCR,Private,1003,23,1:44,2019
,NCR,Private,25,21,1:1,2019
,NCR,Private,261,27,1:10,2019
,NCR,Private,87,30,1:3,2019
,NCR,Private,95,17,1:6,2019
,NCR,Private,85,12,1:7,2019
,NCR,Private,147,12,1:12,2019
,NCR,Private,555,22,1:25,2019
,NCR,Private,127,25,1:5,2019
,NCR,Private,200,46,1:4,2019
,NCR,Private,374,24,1:16,2019
,NCR,Private,259,13,1:20,2019
,NCR,Private,221,12,1:18,2019
,NCR,Private,290,6,1:48,2019
,NCR,Private,1058,65,1:16,2019
,NCR,Private,389,11,1:35,2019
,NCR,Private,41,5,1:8,2019
,NCR,Private,126,28,1:5,2019
,NCR,Private,97,16,1:6,2019
,NCR,Private,215,18,1:12,2019
,NCR,Private,309,15,1:21,2019
,NCR,Private,52,13,1:4,2019
,NCR,Private,92,41,1:2,2019
,NCR,Private,784,30,1:26,2019
,NCR,Private,6904,207,1:33,2019
,NCR,Private,106,46,1:2,2019
,NCR,Private,147,21,1:7,2019
,NCR,Private,1075,66,1:16,2019
,NCR,Private,64,18,1:4,2019
,NCR,Private,52,11,1:5,2019
,NCR,Private,37,13,1:3,2019
,NCR,Private,319,18,1:18,2019
,NCR,Private,115,32,1:4,2019
,NCR,Private,2214,70,1:32,2019
,NCR,Private,7662,289,1:27,2019
,NCR,Private,243,25,1:10,2019
,NCR,Private,194,10,1:19,2019
,NCR,Private,536,59,1:9,2019
,NCR,Private,426,22,1:19,2019
,NCR,Private,2102,225,1:9,2019
,NCR,Private,1247,86,1:15,2019
,NCR,Private,1284,152,1:8,2019
,NCR,Private,10480,451,1:23,2019
,NCR,Private,58,16,1:4,2019
,NCR,Private,594,30,1:20,2019
,NCR,Private,140,24,1:6,2019
,NCR,Private,1459,62,1:24,2019
,NCR,Private,247,64,1:4,2019
,NCR,Private,69,36,1:2,2019
,NCR,Private,1397,70,1:20,2019
,NCR,Private,3,4,1:1,2019
,NCR,Private,403,40,1:10,2019
,NCR,Private,26,15,1:2,2019
,NCR,Private,2034,189,1:11,2019
,NCR,Private,1265,34,1:37,2019
,NCR,Private,200,20,1:10,2019
,NCR,Private,761,34,1:22,2019
,NCR,Private,3883,47,1:83,2019
,NCR,Private,199,25,1:8,2019
,NCR,Private,6442,301,1:21,2019
,NCR,Private,34,10,1:3,2019
,NCR,Private,50,8,1:6,2019
,NCR,Private,9802,282,1:35,2019
,NCR,Private,1058,95,1:11,2019
,NCR,Private,6686,181,1:37,2019
,NCR,Private,14523,414,1:35,2019
,NCR,Private,152,19,1:8,2019
,NCR,Private,1242,44,1:28,2019
,NCR,Private,710,18,1:39,2019
,NCR,Private,413,39,1:11,2019
,NCR,Private,40,16,1:3,2019
,NCR,Private,38,21,1:2,2019
,NCR,Private,883,67,1:13,2019
,NCR,Private,1041,69,1:15,2019
,NCR,Private,4251,89,1:48,2019
,NCR,Private,722,65,1:11,2019
,NCR,Private,1527,81,1:19,2019
,NCR,Private,122,24,1:5,2019
,NCR,Private,5116,105,1:49,2019
,NCR,Private,355,17,1:21,2019
,NCR,Private,105,26,1:4,2019
,NCR,Private,1175,45,1:26,2019
,NCR,Private,985,37,1:27,2019
,NCR,Private,76,16,1:5,2019
,NCR,Private,425,11,1:39,2019
,NCR,Private,548,10,1:55,2019
,NCR,Private,5574,8,1:697,2019
,NCR,Private,96,35,1:3,2019
,NCR,Private,352,27,1:13,2019
,NCR,Private,100,31,1:3,2019
,NCR,Private,244,37,1:7,2019
,NCR,Private,211,29,1:7,2019
,NCR,Private,442,29,1:15,2019
,NCR,Private,19,8,1:2,2019
,NCR,Private,353,42,1:8,2019
,NCR,Private,2333,115,1:20,2019
,NCR,Private,3437,391,1:9,2019
,NCR,Private,252,46,1:5,2019
,NCR,Private,248,44,1:6,2019
,NCR,Private,549,95,1:6,2019
,NCR,Private,138,7,1:20,2019
,NCR,Private,202,30,1:7,2019
,NCR,Private,101,13,1:8,2019
,NCR,Private,229,22,1:10,2019
,NCR,Private,26,7,1:4,2019
,NCR,Private,223,45,1:5,2019
,NCR,Private,215,14,1:15,2019
,NCR,Private,866,73,1:12,2019
,NCR,Private,777,7,1:111,2019
,NCR,Private,40,18,1:2,2019
,NCR,Private,82,26,1:3,2019
,NCR,Private,1193,28,1:43,2019
,NCR,Private,17,12,1:1,2019
,NCR,Private,299,10,1:30,2019
,NCR,Private,606,56,1:11,2019
,NCR,Private,3130,136,1:23,2019
,NCR,Private,471,30,1:16,2019
,NCR,Private,258,53,1:5,2019
,NCR,Private,832,92,1:9,2019
,NCR,Private,793,136,1:6,2019
,NCR,Private,20,14,1:1,2019
,NCR,Private,62,20,1:3,2019
,NCR,Private,469,32,1:15,2019
,NCR,Private,46,14,1:3,2019
,NCR,Private,434,20,1:22,2019
,NCR,Private,3341,66,1:51,2019
,NCR,Private,1091,41,1:27,2019
,NCR,Private,2436,101,1:24,2019
,NCR,Private,429,25,1:17,2019
,NCR,Private,394,16,1:25,2019
,NCR,Private,1309,76,1:17,2019
,NCR,Private,1944,61,1:32,2019
,NCR,Private,785,24,1:33,2019
,NCR,Private,452,36,1:13,2019
,NCR,Private,518,27,1:19,2019
,NCR,Private,577,21,1:27,2019
,NCR,Private,1389,57,1:24,2019
,NCR,Private,1740,63,1:28,2019
,NCR,Private,34,10,1:3,2019
,NCR,Private,137,7,1:20,2019
,NCR,Private,7745,272,1:28,2019
,NCR,Private,10816,272,1:40,2019
,NCR,Private,353,38,1:9,2019
,NCR,Private,122,13,1:9,2019
,NCR,Private,5965,220,1:27,2019
,NCR,Private,25,17,1:1,2019
,NCR,Private,2759,187,1:15,2019
,NCR,Private,7270,130,1:56,2019
,NCR,Private,199,17,1:12,2019
,NCR,Private,72,13,1:6,2019
,NCR,Private,411,21,1:20,2019
,NCR,Private,1002,55,1:18,2019
,NCR,Private,1900,228,1:8,2019
,NCR,Private,9314,226,1:41,2019
,NCR,Private,31193,2133,1:15,2019
,NCR,Private,4715,151,1:31,2019
,NCR,Private,10536,382,1:28,2019
,NCR,Private,3484,364,1:10,2019
,NCR,Private,459,9,1:51,2019
,NCR,Private,892,62,1:14,2019
,NCR,Private,792,41,1:19,2019
,NCR,Private,1051,63,1:17,2019
,Cordillera Adm. Region,Private,938,55,1:17,2019
,Cordillera Adm. Region,Private,228,15,1:15,2019
,Cordillera Adm. Region,Private,4674,68,1:69,2019
,Cordillera Adm. Region,Private,77,9,1:9,2019
,Cordillera Adm. Region,Private,678,24,1:28,2019
,Cordillera Adm. Region,Private,38,24,1:2,2019
,Cordillera Adm. Region,Private,283,27,1:10,2019
,Cordillera Adm. Region,Private,39,20,1:2,2019
,Cordillera Adm. Region,Private,36,18,1:2,2019
,Cordillera Adm. Region,Private,164,26,1:6,2019
,Cordillera Adm. Region,Private,1621,91,1:18,2019
,Cordillera Adm. Region,Private,242,20,1:12,2019
,Cordillera Adm. Region,Private,415,37,1:11,2019
,Cordillera Adm. Region,Private,572,50,1:11,2019
,Cordillera Adm. Region,Private,211,45,1:5,2019
,Cordillera Adm. Region,Private,537,53,1:10,2019
,Cordillera Adm. Region,Private,501,26,1:19,2019
,Cordillera Adm. Region,Private,50,22,1:2,2019
,Cordillera Adm. Region,Private,1935,92,1:21,2019
,Cordillera Adm. Region,Private,85,10,1:9,2019
,Cordillera Adm. Region,Private,44,10,1:4,2019
,Cordillera Adm. Region,Private,183,13,1:14,2019
,Cordillera Adm. Region,Private,916,51,1:18,2019
,Cordillera Adm. Region,Private,558,23,1:24,2019
,Cordillera Adm. Region,Private,19779,731,1:27,2019
,Cordillera Adm. Region,Private,95,29,1:3,2019
,Cordillera Adm. Region,Private,65,11,1:6,2019
,Cordillera Adm. Region,Private,79,21,1:4,2019
,Cordillera Adm. Region,Private,9740,266,1:37,2019
,Cordillera Adm. Region,Private,11029,294,1:38,2019
,Cordillera Adm. Region,Private,49,10,1:5,2019
,Cordillera Adm. Region,Private,107,39,1:3,2019
,Cordillera Adm. Region,Private,20,6,1:3,2019
,Cordillera Adm. Region,Private,1171,63,1:19,2019
,Cordillera Adm. Region,Private,44,8,1:6,2019
,Cordillera Adm. Region,Private,21,11,1:2,2019
,Cordillera Adm. Region,Private,63,10,1:6,2019
,Cordillera Adm. Region,Private,237,17,1:14,2019
,Cordillera Adm. Region,Private,314,16,1:20,2019
,Cordillera Adm. Region,Private,20,5,1:4,2019
,Cordillera Adm. Region,Private,493,13,1:38,2019
,Cordillera Adm. Region,Private,203,21,1:10,2019
,Cordillera Adm. Region,Private,441,18,1:25,2019
,Cordillera Adm. Region,Private,90,13,1:7,2019
,Cordillera Adm. Region,Private,278,34,1:8,2019
,Cordillera Adm. Region,Private,207,14,1:15,2019
,Cordillera Adm. Region,Private,612,14,1:44,2019
,Cordillera Adm. Region,Private,787,40,1:20,2019
,Cordillera Adm. Region,Private,196,26,1:8,2019
,Cordillera Adm. Region,Private,214,11,1:19,2019
,Cordillera Adm. Region,Private,242,17,1:14,2019
,Cordillera Adm. Region,Private,48,7,1:7,2019
,Cordillera Adm. Region,Private,277,8,1:35,2019
,Cordillera Adm. Region,Private,328,18,1:18,2019
,Cordillera Adm. Region,Private,713,31,1:23,2019
,Cordillera Adm. Region,Private,479,21,1:23,2019
,Cordillera Adm. Region,Private,594,16,1:37,2019
,Cordillera Adm. Region,Private,167,14,1:12,2019
,Cordillera Adm. Region,Private,104,12,1:9,2019
,Cordillera Adm. Region,Private,122,24,1:5,2019
,Cordillera Adm. Region,Private,1384,81,1:17,2019
,Cordillera Adm. Region,Private,356,27,1:13,2019
,Cordillera Adm. Region,Private,420,15,1:28,2019
,Cordillera Adm. Region,Private,351,17,1:21,2019
,Cordillera Adm. Region,Private,17,11,1:2,2019
,Cordillera Adm. Region,Private,44,6,1:7,2019
,Cordillera Adm. Region,Private,1488,50,1:30,2019
,Cordillera Adm. Region,Private,635,20,1:32,2019
,Cordillera Adm. Region,Private,65,34,1:2,2019
,Cordillera Adm. Region,Private,105,13,1:8,2019
,Cordillera Adm. Region,Private,30,10,1:3,2019
,Cordillera Adm. Region,Private,1228,97,1:13,2019
,Cordillera Adm. Region,Private,1702,8,1:213,2019
,Cordillera Adm. Region,Private,811,17,1:48,2019
,Cordillera Adm. Region,Private,255,16,1:16,2019
,Cordillera Adm. Region,Private,179,16,1:11,2019
,Cordillera Adm. Region,Private,1452,43,1:34,2019
,Cordillera Adm. Region,Private,108,13,1:8,2019
,Cordillera Adm. Region,Private,240,18,1:13,2019
,Cordillera Adm. Region,Private,535,29,1:18,2019
,Cordillera Adm. Region,Private,580,33,1:18,2019
,Cordillera Adm. Region,Private,6523,37,1:176,2019
,Cordillera Adm. Region,Private,362,27,1:13,2019
,Cordillera Adm. Region,Private,210,18,1:12,2019
,Cordillera Adm. Region,Private,367,59,1:6,2019
,Cordillera Adm. Region,Private,23,8,1:3,2019
,Cordillera Adm. Region,Private,32,7,1:5,2019
,Cordillera Adm. Region,Private,877,38,1:23,2019
,Cordillera Adm. Region,Private,868,17,1:51,2019
,Caraga,Private,1076,51,1:21,2019
,Caraga,Private,1287,41,1:31,2019
,Caraga,Private,1118,58,1:19,2019
,Caraga,Private,993,38,1:26,2019
,Caraga,Private,161,22,1:7,2019
,Caraga,Private,111,23,1:5,2019
,Caraga,Private,514,32,1:16,2019
,Caraga,Private,110,15,1:7,2019
,Caraga,Private,548,42,1:13,2019
,Caraga,Private,62,22,1:3,2019
,Caraga,Private,527,21,1:25,2019
,Caraga,Private,322,37,1:9,2019
,Caraga,Private,794,32,1:25,2019
,Caraga,Private,64,21,1:3,2019
,Caraga,Private,3707,218,1:17,2019
,Caraga,Private,505,34,1:15,2019
,Caraga,Private,236,26,1:9,2019
,Caraga,Private,1745,63,1:28,2019
,Caraga,Private,1980,80,1:25,2019
,Caraga,Private,966,45,1:21,2019
,Caraga,Private,860,48,1:18,2019
,Caraga,Private,1747,62,1:28,2019
,Caraga,Private,2752,93,1:30,2019
,Caraga,Private,1236,41,1:30,2019
,Caraga,Private,218,32,1:7,2019
,Caraga,Private,78,17,1:5,2019
,Caraga,Private,902,64,1:14,2019
,Caraga,Private,356,26,1:14,2019
,Caraga,Private,134,15,1:9,2019
,Caraga,Private,906,59,1:15,2019
,Caraga,Private,1030,41,1:25,2019
,Caraga,Private,1382,74,1:19,2019
,Caraga,Private,383,35,1:11,2019
,Caraga,Private,1256,79,1:16,2019
,Caraga,Private,228,13,1:18,2019
,Caraga,Private,124,17,1:7,2019
,Caraga,Private,1287,84,1:15,2019
,Caraga,Private,93,13,1:7,2019
,MIMAROPA,Private,720,33,1:22,2019
,MIMAROPA,Private,135,14,1:10,2019
,MIMAROPA,Private,48,13,1:4,2019
,MIMAROPA,Private,429,38,1:11,2019
,MIMAROPA,Private,111,12,1:9,2019
,MIMAROPA,Private,319,19,1:17,2019
,MIMAROPA,Private,2540,114,1:22,2019
,MIMAROPA,Private,816,38,1:21,2019
,MIMAROPA,Private,245,16,1:15,2019
,MIMAROPA,Private,693,29,1:24,2019
,MIMAROPA,Private,1350,23,1:59,2019
,MIMAROPA,Private,15,8,1:2,2019
,MIMAROPA,Private,257,27,1:10,2019
,MIMAROPA,Private,1607,40,1:40,2019
,MIMAROPA,Private,61,14,1:4,2019
,MIMAROPA,Private,711,72,1:10,2019
,MIMAROPA,Private,1481,57,1:26,2019
,MIMAROPA,Private,185,19,1:10,2019
,MIMAROPA,Private,1178,59,1:20,2019
,MIMAROPA,Private,41,5,1:8,2019
,MIMAROPA,Private,475,45,1:11,2019
,MIMAROPA,Private,15,6,1:3,2019
,MIMAROPA,Private,135,34,1:4,2019
,MIMAROPA,Private,9,7,1:1,2019
,MIMAROPA,Private,793,39,1:20,2019
,MIMAROPA,Private,392,18,1:22,2019
,MIMAROPA,Private,527,29,1:18,2019
,MIMAROPA,Private,237,22,1:11,2019
,MIMAROPA,Private,375,20,1:19,2019
,MIMAROPA,Private,210,10,1:21,2019
,MIMAROPA,Private,57,16,1:4,2019
,MIMAROPA,Private,132,17,1:8,2019
,MIMAROPA,Private,20,7,1:3,2019
,MIMAROPA,Private,850,22,1:39,2019
,MIMAROPA,Private,19,10,1:2,2019
,MIMAROPA,Private,157,27,1:6,2019
,MIMAROPA,Private,489,27,1:18,2019
,MIMAROPA,Private,388,33,1:12,2019
,MIMAROPA,Private,137,15,1:9,2019
,MIMAROPA,Private,225,29,1:8,2019
,Ilocos Region,Public,13533,674,1:20,2019
,Ilocos Region,Public,4889,256,1:19,2019
,Ilocos Region,Public,7979,553,1:14,2019
,Ilocos Region,Public,2371,102,1:23,2019
,Ilocos Region,Public,20355,693,1:29,2019
,Ilocos Region,Public,7037,516,1:14,2019
,Cagayan Valley,Public,698,45,1:16,2019
,Cagayan Valley,Public,21914,1014,1:22,2019
,Cagayan Valley,Public,22038,585,1:38,2019
,Cagayan Valley,Public,9143,395,1:23,2019
,Cagayan Valley,Public,3800,222,1:17,2019
,Central Luzon,Public,2498,107,1:23,2019
,Central Luzon,Public,12108,431,1:28,2019
,Central Luzon,Public,3409,155,1:22,2019
,Central Luzon,Public,33718,1333,1:25,2019
,Central Luzon,Public,9628,498,1:19,2019
,Central Luzon,Public,20536,408,1:50,2019
,Central Luzon,Public,24391,626,1:39,2019
,Central Luzon,Public,4557,196,1:23,2019
,Central Luzon,Public,775,82,1:9,2019
,Central Luzon,Public,8693,377,1:23,2019
,Central Luzon,Public,4042,174,1:23,2019
,Central Luzon,Public,16593,188,1:88,2019
,CALABARZON,Public,40431,1088,1:37,2019
,CALABARZON,Public,40819,1404,1:29,2019
,CALABARZON,Public,23040,747,1:31,2019
,CALABARZON,Public,8309,367,1:23,2019
,CALABARZON,Public,15811,596,1:27,2019
,Bicol Region,Public,3981,145,1:27,2019
,Bicol Region,Public,15947,669,1:24,2019
,Bicol Region,Public,5297,204,1:26,2019
,Bicol Region,Public,5122,187,1:27,2019
,Bicol Region,Public,6551,269,1:24,2019
,Bicol Region,Public,9499,392,1:24,2019
,Bicol Region,Public,4619,156,1:30,2019
,Bicol Region,Public,5579,298,1:19,2019
,Bicol Region,Public,7634,263,1:29,2019
,Western Visayas,Public,6566,323,1:20,2019
,Western Visayas,Public,10187,414,1:25,2019
,Western Visayas,Public,11627,357,1:33,2019
,Western Visayas,Public,7310,244,1:30,2019
,Western Visayas,Public,12883,558,1:23,2019
,Western Visayas,Public,4770,206,1:23,2019
,Western Visayas,Public,11102,458,1:24,2019
,Western Visayas,Public,4650,219,1:21,2019
,Western Visayas,Public,7971,352,1:23,2019
,Western Visayas,Public,11395,448,1:25,2019
,Western Visayas,Public,13769,805,1:17,2019
,Central Visayas,Public,16170,512,1:32,2019
,Central Visayas,Public,6913,238,1:29,2019
,Central Visayas,Public,39398,1266,1:31,2019
,Eastern Visayas,Public,26411,1159,1:23,2019
,Eastern Visayas,Public,1472,62,1:24,2019
,Eastern Visayas,Public,13068,553,1:24,2019
,Eastern Visayas,Public,19462,734,1:27,2019
,Eastern Visayas,Public,5951,327,1:18,2019
,Eastern Visayas,Public,6945,311,1:22,2019
,Eastern Visayas,Public,7182,200,1:36,2019
,Eastern Visayas,Public,4366,191,1:23,2019
,Eastern Visayas,Public,6518,255,1:26,2019
,Eastern Visayas,Public,8939,408,1:22,2019
,Eastern Visayas,Public,12635,532,1:24,2019
,Eastern Visayas,Public,10972,643,1:17,2019
,Zamboanga Peninsula,Public,4240,113,1:38,2019
,Zamboanga Peninsula,Public,13642,611,1:22,2019
,Zamboanga Peninsula,Public,21753,139,1:156,2019
,Zamboanga Peninsula,Public,33034,1546,1:21,2019
,Zamboanga Peninsula,Public,6494,210,1:31,2019
,Zamboanga Peninsula,Public,4530,155,1:29,2019
,Northern Mindanao,Public,14572,893,1:16,2019
,Northern Mindanao,Public,2161,97,1:22,2019
,Northern Mindanao,Public,7930,405,1:20,2019
,Northern Mindanao,Public,8514,401,1:21,2019
,Northern Mindanao,Public,2584,110,1:23,2019
,Northern Mindanao,Public,11359,575,1:20,2019
,Northern Mindanao,Public,1437,96,1:15,2019
,Davao Region,Public,4850,201,1:24,2019
,Davao Region,Public,3165,109,1:29,2019
,Davao Region,Public,9162,350,1:26,2019
,Davao Region,Public,4695,122,1:38,2019
,Davao Region,Public,11271,371,1:30,2019
,Soccsksargen,Public,7329,218,1:34,2019
,Soccsksargen,Public,3454,343,1:10,2019
,Soccsksargen,Public,10849,386,1:28,2019
,Soccsksargen,Public,13026,497,1:26,2019
,National Capital Region,Public,22011,482,1:46,2019
,National Capital Region,Public,4805,97,1:50,2019
,National Capital Region,Public,7895,388,1:20,2019
,National Capital Region,Public,10853,334,1:32,2019
,National Capital Region,Public,58167,1887,1:31,2019
,National Capital Region,Public,22895,561,1:41,2019
,National Capital Region,Public,19527,780,1:25,2019
,Cordillera Administrative Region,Public,57139,3690,1:15,2019
,Cordillera Administrative Region,Public,2908,151,1:19,2019
,Cordillera Administrative Region,Public,2586,115,1:22,2019
,Cordillera Administrative Region,Public,7419,405,1:18,2019
,Cordillera Administrative Region,Public,5458,256,1:21,2019
,Cordillera Administrative Region,Public,4876,225,1:22,2019
,Cordillera Administrative Region,Public,3695,229,1:16,2019
,ARMM,Public,3142,35,1:90,2019
,ARMM,Public,28773,1713,1:17,2019
,ARMM,Public,1890,128,1:15,2019
,ARMM,Public,6725,175,1:38,2019
,ARMM,Public,2894,126,1:23,2019
,Caraga,Public,4225,125,1:34,2019
,Caraga,Public,7101,346,1:21,2019
,Caraga,Public,10558,389,1:27,2019
,Caraga,Public,11049,248,1:45,2019
,MIMAROPA,Public,5252,313,1:17,2019
,MIMAROPA,Public,5978,265,1:23,2019
,MIMAROPA,Public,8449,317,1:27,2019
,MIMAROPA,Public,24678,814,1:30,2019
,MIMAROPA,Public,9109,382,1:24,2019
,MIMAROPA,Public,7477,314,1:24,2019
