,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Region,Institution Type,Enrolled Students,Faculty,Ratio,Year
,Central Luzon,Private,947,51,1:19,2019
,Central Luzon,Private,77,30,1:3,2019
,Central Luzon,Private,239,34,1:7,2019
,Central Luzon,Private,623,18,1:35,2019
,Central Luzon,Private,1041,22,1:47,2019
,Central Luzon,Private,100,21,1:5,2019
,Central Luzon,Private,133,22,1:6,2019
,Central Luzon,Private,24,5,1:5,2019
,Central Luzon,Private,167,26,1:6,2019
,Central Luzon,Private,133,12,1:11,2019
,Central Luzon,Private,271,30,1:9,2019
,Central Luzon,Private,1820,52,1:35,2019
,Central Luzon,Private,481,10,1:48,2019
,Central Luzon,Private,132,18,1:7,2019
,Central Luzon,Private,176,25,1:7,2019
,Central Luzon,Private,197,22,1:9,2019
,Central Luzon,Private,292,23,1:13,2019
,Central Luzon,Private,829,39,1:21,2019
,Central Luzon,Private,371,22,1:17,2019
,Central Luzon,Private,439,53,1:8,2019
,Central Luzon,Private,327,20,1:16,2019
,Central Luzon,Private,557,21,1:27,2019
,Central Luzon,Private,468,27,1:17,2019
,Central Luzon,Private,605,10,1:61,2019
,Central Luzon,Private,219,41,1:5,2019
,Central Luzon,Private,437,44,1:10,2019
,Central Luzon,Private,1832,80,1:23,2019
,Central Luzon,Private,244,19,1:13,2019
,Central Luzon,Private,437,24,1:18,2019
,Central Luzon,Private,48,13,1:4,2019
,Central Luzon,Private,619,37,1:17,2019
,Central Luzon,Private,573,39,1:15,2019
,Central Luzon,Private,52,13,1:4,2019
,Central Luzon,Private,1828,145,1:13,2019
,Central Luzon,Private,5850,157,1:37,2019
,Central Luzon,Private,592,42,1:14,2019
,Central Luzon,Private,395,29,1:14,2019
,CALABARZON,Private,152,18,1:8,2019
,CALABARZON,Private,119,8,1:15,2019
,CALABARZON,Private,113,16,1:7,2019
,CALABARZON,Private,592,15,1:39,2019
,CALABARZON,Private,217,22,1:10,2019
,CALABARZON,Private,92,12,1:8,2019
,CALABARZON,Private,350,49,1:7,2019
,CALABARZON,Private,3164,184,1:17,2019
,CALABARZON,Private,109,19,1:6,2019
,CALABARZON,Private,599,27,1:22,2019
,CALABARZON,Private,72,10,1:7,2019
,CALABARZON,Private,350,13,1:27,2019
,CALABARZON,Private,122,18,1:7,2019
,CALABARZON,Private,120,5,1:24,2019
,CALABARZON,Private,282,15,1:19,2019
,CALABARZON,Private,281,17,1:17,2019
,CALABARZON,Private,532,14,1:38,2019
,CALABARZON,Private,424,14,1:30,2019
,CALABARZON,Private,201,12,1:17,2019
,CALABARZON,Private,109,6,1:18,2019
,CALABARZON,Private,189,12,1:16,2019
,CALABARZON,Private,975,10,1:98,2019
,CALABARZON,Private,364,31,1:12,2019
,CALABARZON,Private,48,11,1:4,2019
,CALABARZON,Private,95,20,1:5,2019
,CALABARZON,Private,132,23,1:6,2019
,CALABARZON,Private,156,21,1:7,2019
,CALABARZON,Private,42,20,1:2,2019
,CALABARZON,Private,80,23,1:3,2019
,CALABARZON,Private,872,53,1:16,2019
,CALABARZON,Private,287,45,1:6,2019
,CALABARZON,Private,117,17,1:7,2019
,CALABARZON,Private,57,10,1:6,2019
,CALABARZON,Private,1036,78,1:13,2019
,CALABARZON,Private,365,41,1:9,2019
,CALABARZON,Private,468,26,1:18,2019
,CALABARZON,Private,1014,72,1:14,2019
,CALABARZON,Private,79,16,1:5,2019
,CALABARZON,Private,640,31,1:21,2019
,CALABARZON,Private,16,7,1:2,2019
,CALABARZON,Private,1582,25,1:63,2019
,CALABARZON,Private,96,23,1:4,2019
,CALABARZON,Private,127,29,1:4,2019
,CALABARZON,Private,183,15,1:12,2019
,CALABARZON,Private,384,24,1:16,2019
,CALABARZON,Private,332,16,1:21,2019
,CALABARZON,Private,96,22,1:4,2019
,CALABARZON,Private,372,7,1:53,2019
,CALABARZON,Private,2217,137,1:16,2019
,CALABARZON,Private,261,29,1:9,2019
,CALABARZON,Private,331,22,1:15,2019
,CALABARZON,Private,211,19,1:11,2019
,CALABARZON,Private,13,8,1:2,2019
,CALABARZON,Private,328,35,1:9,2019
,CALABARZON,Private,167,41,1:4,2019
,CALABARZON,Private,1087,30,1:36,2019
,CALABARZON,Private,66,16,1:4,2019
,CALABARZON,Private,3540,315,1:11,2019
,CALABARZON,Private,3559,503,1:7,2019
,CALABARZON,Private,8893,572,1:16,2019
,CALABARZON,Private,73,12,1:6,2019
,CALABARZON,Private,3,4,1:1,2019
,CALABARZON,Private,155,41,1:4,2019
,CALABARZON,Private,349,29,1:12,2019
,CALABARZON,Private,70,25,1:3,2019
,CALABARZON,Private,122,24,1:5,2019
,CALABARZON,Private,1055,38,1:28,2019
,CALABARZON,Private,969,33,1:29,2019
,CALABARZON,Private,1068,57,1:19,2019
,CALABARZON,Private,20,7,1:3,2019
,CALABARZON,Private,2162,135,1:16,2019
,CALABARZON,Private,55,13,1:4,2019
,CALABARZON,Private,630,50,1:13,2019
,CALABARZON,Private,268,27,1:10,2019
,CALABARZON,Private,963,82,1:12,2019
,CALABARZON,Private,4087,66,1:62,2019
,CALABARZON,Private,20,25,1:1,2019
,CALABARZON,Private,6,6,1:1,2019
,CALABARZON,Private,466,22,1:21,2019
,CALABARZON,Private,156,18,1:9,2019
,CALABARZON,Private,65,18,1:4,2019
,CALABARZON,Private,566,23,1:25,2019
,CALABARZON,Private,20258,164,1:124,2019
,CALABARZON,Private,644,16,1:40,2019
,CALABARZON,Private,332,18,1:18,2019
,CALABARZON,Private,43,18,1:2,2019
,CALABARZON,Private,251,22,1:11,2019
,CALABARZON,Private,137,9,1:15,2019
,CALABARZON,Private,819,26,1:32,2019
,CALABARZON,Private,9,8,1:1,2019
,CALABARZON,Private,483,55,1:9,2019
,CALABARZON,Private,123,16,1:8,2019
,CALABARZON,Private,975,45,1:22,2019
,CALABARZON,Private,204,31,1:7,2019
,CALABARZON,Private,1147,13,1:88,2019
,CALABARZON,Private,91,4,1:23,2019
,CALABARZON,Private,87,18,1:5,2019
,CALABARZON,Private,132,22,1:6,2019
,CALABARZON,Private,200,17,1:12,2019
,CALABARZON,Private,272,31,1:9,2019
,CALABARZON,Private,747,59,1:13,2019
,CALABARZON,Private,909,50,1:18,2019
,CALABARZON,Private,1244,84,1:15,2019
,CALABARZON,Private,39,11,1:4,2019
,CALABARZON,Private,828,39,1:21,2019
,CALABARZON,Private,33,11,1:3,2019
,CALABARZON,Private,379,11,1:34,2019
,CALABARZON,Private,1646,40,1:41,2019
,CALABARZON,Private,301,30,1:10,2019
,CALABARZON,Private,1518,74,1:21,2019
,CALABARZON,Private,69,14,1:5,2019
,CALABARZON,Private,5704,146,1:39,2019
,CALABARZON,Private,470,16,1:29,2019
,CALABARZON,Private,6251,229,1:27,2019
,CALABARZON,Private,2671,107,1:25,2019
,CALABARZON,Private,72,7,1:10,2019
,CALABARZON,Private,3876,143,1:27,2019
,CALABARZON,Private,79,15,1:5,2019
,CALABARZON,Private,583,49,1:12,2019
,CALABARZON,Private,522,30,1:17,2019
,CALABARZON,Private,3813,208,1:18,2019
,CALABARZON,Private,103,18,1:6,2019
,CALABARZON,Private,223,29,1:8,2019
,CALABARZON,Private,40,15,1:3,2019
,CALABARZON,Private,962,53,1:18,2019
,CALABARZON,Private,38,50,1:1,2019
,CALABARZON,Private,8,3,1:3,2019
,CALABARZON,Private,307,16,1:19,2019
,CALABARZON,Private,80,5,1:16,2019
,CALABARZON,Private,111,15,1:7,2019
,CALABARZON,Private,15,11,1:1,2019
,CALABARZON,Private,589,22,1:27,2019
,CALABARZON,Private,3961,132,1:30,2019
,CALABARZON,Private,144,30,1:5,2019
,CALABARZON,Private,1877,51,1:37,2019
,CALABARZON,Private,159,10,1:16,2019
,CALABARZON,Private,456,25,1:18,2019
,CALABARZON,Private,59,21,1:3,2019
,CALABARZON,Private,325,29,1:11,2019
,CALABARZON,Private,646,19,1:34,2019
,CALABARZON,Private,39,9,1:4,2019
,CALABARZON,Private,5796,157,1:37,2019
,CALABARZON,Private,31,19,1:2,2019
,CALABARZON,Private,69,20,1:3,2019
,CALABARZON,Private,336,13,1:26,2019
,CALABARZON,Private,366,28,1:13,2019
,CALABARZON,Private,74,22,1:3,2019
,CALABARZON,Private,460,28,1:16,2019
,CALABARZON,Private,180,30,1:6,2019
,CALABARZON,Private,18,24,1:1,2019
,CALABARZON,Private,1242,61,1:20,2019
,CALABARZON,Private,417,42,1:10,2019
,CALABARZON,Private,208,13,1:16,2019
,CALABARZON,Private,2593,43,1:60,2019
,CALABARZON,Private,338,37,1:9,2019
,CALABARZON,Private,53,21,1:3,2019
,CALABARZON,Private,621,41,1:15,2019
,CALABARZON,Private,281,10,1:28,2019
,CALABARZON,Private,211,15,1:14,2019
,CALABARZON,Private,749,91,1:8,2019
,CALABARZON,Private,328,29,1:11,2019
,CALABARZON,Private,463,27,1:17,2019
,CALABARZON,Private,62,13,1:5,2019
,CALABARZON,Private,1305,75,1:17,2019
,CALABARZON,Private,173,14,1:12,2019
,CALABARZON,Private,105,19,1:6,2019
,CALABARZON,Private,214,29,1:7,2019
,CALABARZON,Private,26,18,1:1,2019
,CALABARZON,Private,561,42,1:13,2019
,CALABARZON,Private,88,14,1:6,2019
,CALABARZON,Private,108,11,1:10,2019
,CALABARZON,Private,42,7,1:6,2019
,CALABARZON,Private,169,24,1:7,2019
,CALABARZON,Private,988,86,1:11,2019
,CALABARZON,Private,2785,93,1:30,2019
,CALABARZON,Private,49,16,1:3,2019
,CALABARZON,Private,1041,71,1:15,2019
,CALABARZON,Private,564,53,1:11,2019
,CALABARZON,Private,486,16,1:30,2019
,CALABARZON,Private,7,5,1:1,2019
,CALABARZON,Private,30,9,1:3,2019
,CALABARZON,Private,111,29,1:4,2019
,CALABARZON,Private,248,21,1:12,2019
,CALABARZON,Private,13,8,1:2,2019
,CALABARZON,Private,1021,96,1:11,2019
,CALABARZON,Private,29,17,1:2,2019
,CALABARZON,Private,163,5,1:33,2019
,CALABARZON,Private,481,32,1:15,2019
,CALABARZON,Private,2009,130,1:15,2019
,CALABARZON,Private,47,18,1:3,2019
,CALABARZON,Private,34,7,1:5,2019
,CALABARZON,Private,79,23,1:3,2019
,CALABARZON,Private,91,14,1:7,2019
,CALABARZON,Private,110,19,1:6,2019
,CALABARZON,Private,210,37,1:6,2019
,CALABARZON,Private,497,20,1:25,2019
,CALABARZON,Private,35,9,1:4,2019
,CALABARZON,Private,144,19,1:8,2019
,CALABARZON,Private,67,19,1:4,2019
,CALABARZON,Private,2119,35,1:61,2019
,CALABARZON,Private,366,23,1:16,2019
,CALABARZON,Private,565,35,1:16,2019
,CALABARZON,Private,919,56,1:16,2019
,CALABARZON,Private,382,27,1:14,2019
,CALABARZON,Private,739,17,1:43,2019
,CALABARZON,Private,479,17,1:28,2019
,CALABARZON,Private,1349,85,1:16,2019
,CALABARZON,Private,88,14,1:6,2019
,CALABARZON,Private,490,9,1:54,2019
,CALABARZON,Private,403,18,1:22,2019
,CALABARZON,Private,2208,60,1:37,2019
,CALABARZON,Private,1102,62,1:18,2019
,CALABARZON,Private,607,34,1:18,2019
,CALABARZON,Private,202,18,1:11,2019
,CALABARZON,Private,360,38,1:9,2019
,CALABARZON,Private,234,17,1:14,2019
,CALABARZON,Private,458,37,1:12,2019
,CALABARZON,Private,3345,99,1:34,2019
,CALABARZON,Private,740,39,1:19,2019
,CALABARZON,Private,148,14,1:11,2019
,CALABARZON,Private,2073,95,1:22,2019
,CALABARZON,Private,168,26,1:6,2019
,CALABARZON,Private,1722,68,1:25,2019
,CALABARZON,Private,231,28,1:8,2019
,CALABARZON,Private,42,26,1:2,2019
,CALABARZON,Private,1103,65,1:17,2019
,CALABARZON,Private,7691,172,1:45,2019
,CALABARZON,Private,1911,88,1:22,2019
,CALABARZON,Private,1494,107,1:14,2019
,CALABARZON,Private,1421,114,1:12,2019
,CALABARZON,Private,1832,245,1:7,2019
,CALABARZON,Private,640,63,1:10,2019
,CALABARZON,Private,4242,151,1:28,2019
,CALABARZON,Private,27,25,1:1,2019
